,sentence,target
1002,Johnson Matthey raises prospect of investor payout,Dividend Policy
1003,InterContinental Hotels Denies Reports of Starwood Merger Talks,Rumors
1004,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,Market
1005,Ocwen Reaches Settlement With California Regulator,Legal
1006,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,Regulatory
1007,AstraZeneca suffers setback after drug fails to treat eye cancer,Risks
1008,British American Tobacco first-half sales hurt by currency moves,Currency
1009,Zurich Insurance Considering Offer for UK Rival RSA Insurance,Rumors
1010,Japan's Nikkei lands Financial Times in $1.3 billion deal,Sales
1011,"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",Legal
1012,UPDATE 1-AstraZeneca sells rare cancer drug to Sanofi for up to $300 mln,Sales
1013,Sainsbury sells unit to LloydsPharmacy,Sales
1014,BAE Systems's sales boosted by European Typhoon and currencies,Sales
1015,"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",Legal
1016,"Britain's FTSE steadies, supported by Dixons Carphone",Price Action
1017,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,Sales
1018,AstraZeneca sells Caprelsa rights to Sanofi unit,Sales
1019,UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,Strategy
1020,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,Price Action
1021,"FTSE led lower by M&S, GlaxoSmithKline",Market
1022,Morrisons faces festive sales test,Sales
1023,GKN to buy Fokker Technologies for 706 mln euros,M&A
1024,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,Sales
1025,"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",Sales
1026,Chime Communications Set To Be Acquired By WPP And Providence,M&A
1027,"CompaniesNew Aggreko CEO to reshape business, strip costs",Strategy
1028,AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,Sales
1029,Rio Tinto CEO says iron ore market at equilibrium,Market
1030,US sanctions put Gazprom-Shell alliance plans in jeopardy,Trade
1031,Standard Chartered Not Raising Capital Yet As Dividend Cut,Dividend Policy
1032,Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,Price Action
1033,"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",Risks
1034,CRH adds CR Laurence to acquisitions tally for $1.3bn,M&A
1035,Stakes High for AstraZeneca Heart Drug Facing Tough Competition,Risks
1036,Shire to buy NPS for $5.2 billion to boost rare disease drugs,M&A
1037,Novartis buys remaining rights to GSK treatment in deal up to $1 billion,Sales
1038,"AstraZeneca bags another cancer drug deal, this time with Inovio",Sales
1039,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,Conditions
1040,"L&G still paying price for dividend cut during crisis, chief says",Dividend Policy
1041,Buffett's Company Reports 37 Percent Drop in 2Q Earnings,Company Communication
1042,Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,Dividend Policy
1043,"Tesco, Asda sales fall as march of the discounters continues: Kantar",Sales
1044,Shire proposes $30 bln all-share tie-up with Baxalta,M&A
1045,Shire CEO steps up drive to get Baxalta board talking,Strategy
1046,"Tesco, Asda sales fall as march of the discounters continues-Kantar",Sales
1047,Verizon and AT&T accused of hurting rivals,Regulatory
1048,"FTSE 100 falls as China devaluation hits Burberry, mining stocks",Volatility
1049,AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,Sales
1050,"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",Legal
1051,FDA approves Shire's Vyvanse for binge-eating disorder,Regulatory
1052,CompaniesCar insurer Hastings Group driving Â£180m IPO,IPO
1053,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,Sales
1054,Glencore slumps 25 pct as debt fears grow,Risks
1055,Horizonte acquires neighbouring Glencore nickel property in Brazil,M&A
1056,Companies Thetrainline.com announces arrival of London IPO,IPO
1057,UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,Appointment
1058,Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,Company Communication
1059,Glencore slumps 30 percent as debt fears grow,Risks
1060,Aberdeen Asset Management Gains Foothold In China,Strategy
1061,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,Strategy
1062,"FTSE 100 drops 2.5 pct on Glencore, metals price fears",Price Action
1063,"After Barclays and Bank of America, Citigroup has blockchain in sight",Strategy
1064,AB InBev approaches SABMiller to explore $250bn tie-up,M&A
1065,EU regulator backs approval for GSK injectable asthma drug,Regulatory
1066,Glencore fight back over debt fears lifts shares,Risks
1067,"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",Fundamentals
1068,Brewer AB InBev seeks $275 bln tie-up with SABMiller,M&A
1069,AB InBev looks to win over SABMiller investors,M&A
1070,UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,Regulatory
1071,Copper market may get a 2003-style supply shock from Glencore closures,Market
1072,Breakingviews: IAG can pay more for Aer Lingus,M&A
1073,TalkTalk hires BAE Systems to investigate cyber attack,Appointment
1074,Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,M&A
1075,CompaniesAB InBev signals it won't go hostile for SABMiller,Rumors
1076,Tesco share price jumps as Q3 sales top estimates,Price Action
1077,AstraZeneca diabetes drug combination faces delay after FDA rebuff,Risks
1078,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,Appointment
1079,SABMiller revenue hit by weaker EM currencies,Currency
1080,UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,M&A
1081,CRH's concrete bid for Holcim Lafarge assets,Signal
1082,Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,Market
1083,AB InBev offers SABMiller $3 billion breakup fee,M&A
1084,GSK joins China trade push as UK trumpets healthcare deals,Trade
1085,AB InBev ups offer for SABMiller as deadline looms,M&A
1086,Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,Fundamentals
1087,"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",Volatility
1088,CompaniesUnilever sales lifted by ice cream in soft economy,Sales
1089,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,Rumors
1090,Persimmon share price climbs on 23% rise in full-year revenue,Price Action
1091,Britain's FTSE forges ahead as Shire surges,Price Action
1092,AB InBev attacks SABMiller bid rebuffal,M&A
1093,Anheuser-Busch InBev Increases Offer for Rival SABMiller,M&A
1094,Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,Reputation
1095,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,Reputation
1096,EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,Risks
1097,Ruling sets lower limit on potential fine for BP,Legal
1098,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",Rumors
1099,SAB's Chairman Digs In With Board Divided on InBev Offer,Reputation
1100,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,M&A
1101,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,Legal
1102,Standard Chartered's Shares Plunge 7% After Fitch Downgrade,Coverage
1103,Reed Elsevier share price slides on underwhelming full-year results,Price Action
1104,WPP wins race for 'programmatic buying' agency Essence Digital,M&A
1105,BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,Legal
1106,G4S slides on balance sheet worries,Risks
1107,FDA approves AstraZeneca drug for advanced lung cancer,Regulatory
1108,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,Fundamentals
1109,HSBC appoints business leaders to board,Appointment
1110,"HSBC shakes up board with two new business chiefs, three departures",Appointment
1111,Retail focus helps to shield Lloyds from banking chill,Strategy
1112,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake,Signal
1113,Glencore posts 5.7 pct fall in Q4 copper output,Company Communication
1114,BP ends 27-year sponsorship of Tate as falling oil price takes toll,Strategy
1115,Caterpillar has big revenue & sales increases in Asia-Pacific. Sales are marginally up domestically,Financial
1116,Britain's FTSE slips from 2016 high as Sky falls,Market
1117,BAE Systems cuts earnings target for 2015 and 370 jobs,Financial
1118,$DH.CA NA BK analyst dropped rating to under perform with target price to $18 + high likelihood of dividend cut,Coverage
1119,"Industry NewsRevenue, earnings take a tumble at Weir Group",Financial
1120,$DCTH is this seriously over bought.,Price Action
1121,$VIAV is in Stochastic Oversold winning 62.65% in the past,Price Action
1122,Tesco UK personnel director quits supermarket,Appointment
1123,LPC-Glencore launches refinancing of $8.45billion loan,Strategy
1124,Barclays in $13.75 million US settlement over mutual funds,Legal
1125,Bloomberg buys Barclays' benchmarking business,M&A
1126,$GV markets overbought ...feel the correction is close,Price Action
1127,Cuadrilla files to delay application to frack in Lancashire,Regulatory
1128,$UWTI 25K shares left in U. Might sell all by Monday,Price Action
1129,$AAPL Selling pressure aided by put buyers trying to exploit S-T opp. Same thing creates bullish pressure on call,Price Action
1130,Price-comparison site http://Moneysupermarket.com  slumps the most in 4 years after profit warning https://bloom.bg/2tK2o0y,Financial
1131,"GM Q2 Revenue $37BN, down 1.1% Y/Y, Exp. $40.15BN EPS $1.89, Exp. $1.70",Financial
1132,UK supermarket group Morrisons cuts fresh food prices,Strategy
1133,Legal & General's capital update outweighs profit rise,Financial
1134,Both RSI and Stochastic are in oversold territory on $ENDP,Price Action
1135,Hargreaves Landown slides on trading update,Price Action
1136,$SQ overbought by all the FOMO traders,Price Action
1137,"MarketWatch: Ford offers positive 2017 guidance after Q2 earnings beat, but shares wobble",Financial
1138,$AAPL Closed below 8ema. Sold position,Price Action
1139,#Google Parent And $FANG Stock Alphabet Gets Rating Upgrade - Investor's Business Daily,Coverage
1140,Alphabet revenue up 21 percent to $26B,Financial
1141,$TOL takes a hit on its earnings miss today.,Financial
1142,United Utilities FY profit up 3.5%; to boost capex,Financial
1143,"$PCLN overvalued by 51.76%, mediocre fundamentals, not a strong buy",Price Action
1144,Berkshire Hathaway's 4Q profit declines 17 percent,Financial
1145,@TradeIdea might buy $TSLA after hours if I can get in on a dip after earnings,Price Action
1146,Under Armour downgraded to Sell from Hold at Deutsche Bank - $UAA,Coverage
1147,$DRYS I sold my position! 9% profit,Price Action
1148,Randgold Resources Q4 Profit Decreases - Quick Facts,Financial
1149,$BZUN good entry right now,Price Action
1150,AO World shares tumble on profit warning,Financial
1151,$DPZ Domino's is an overvalued and leveraged company in a high-flying sector of a market near all-time highs..,Price Action
1152,Brexit drives down profits and advertising revenue at ITV ,Financial
1153,BP to slash 4000 jobs globally as oil prices drop,Appointment
1154,$PLXP I like the insider buying taking place,Insider Activity
1155,BHP Billiton to lower copper production costs,Strategy
1156,$AMC 87% of analysts have a buy rating on $AMC with 20% upside,Coverage
1157,Associated British Foods raises guidance as sterling wilts,Financial
1158,Glaxo Sees Hope for Respiratory Drugs as Earnings Beat Estimates,Financial
1159,"$MTN this stock is so overvalued its ridiculous, can we go back down to the 80s",Price Action
1160,$ZTO accumulating more at the $15s,Price Action
1161,BP sees Q1 earnings slide as low oil prices take their toll,Financial
1162,Standout performer' JS Jacques picked to lead Rio Tinto,Appointment
1163,$CXW is currently way undervalued and will rise back to the $19's soon,Price Action
1164,$XNET don't catch this falling Knife taders. protect yourselves.,Price Action
1165,Barclays in Talks With AnaCap to Sell French Consumer Operations,Sales
1166,Aggreko says first half profits will be lower as the oil price rout claims its latest victim,Financial
1167,"$KATE overbought, shooting star candle Friday, lots of bull ppl on this board. 3 extremely reliable indicators of impending doom next week",Price Action
1168,CompaniesGlencore shares hit 3-month high after refinancing key credit line,Price Action
1169,Barclays reiterated Mack-Cali Realty $CLI at Sell. Maybe wanna stay away Value investors,Coverage
1170,$AAPL under more selling pressure today - down 2.5%,Price Action
1171,Direct Line expects claims of Â£110-140 million from three storms,Legal
1172,Bought $FTR on belief stock oversold. Dividend cut and bad news priced in.,Price Action
1173,$SBGL The most undervalued gold/platinum stock in the world! Target 60,Price Action
1174,$FB Buy rating by MKM Partners with a $105 PT,Coverage
1175,AstraZeneca agrees licensing deal for Plendil in China,Sales
1176,Osborne extends Lloyds sell-off plan,Sales
1177,Currency causes full-year headaches for SABMiller,Currency
1178,Indy future in doubt as Johnston Press lines up deal for 'i',Financial
1179,Ofcom says will not impose new price controls on Royal Mail,Regulatory
1180,Warren Buffett's Berkshire Hathaway buys stake in Apple,Buyside
1181,"$SPY lost too much of hard earned money. Sold my 240 puts yesterday!!!! So, mad",Price Action
1182,Sainsbury chief warns of squeeze on high street retailers,Risks
1183,AB InBev offers to sell some SABMiller brands,Sales
1184,$CYTX 3 day trading is oversold at 28.44 RSI stock price reversal will happen ,Price Action
1185,Sports Direct boss Mike Ashley summoned to Westminster for questioning over the treatment of workers,Reputation
1186,$TSO Tesoro Achieves Investment Grade Credit Rating with Standard & Poor's Upgrade,Coverage
1187,Standard Life impresses as fee-based products offset annuities slump,Financial
1188,UPDATE 2-EasyJet sees better first half on lower fuel bill,Financial
1189,BP shares tumble after $2.2bn fourth-quarter loss,Price Action
1190,"UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake",M&A
1191,L&G strikes Â£230m bulk annuity deal,Sales
1192,"$MU 34.18, I ll buy 5 thousand shares and put it a side! I am calling the bottom, always bullish but in between sometimes bear.",Price Action
1193,"Britain's FTSE buoyed by Admiral, building sector gains",Market
1194,$GE gets a raise,Coverage
1195,"$VNR Just added 2,300 @ .77 Going in for long term as this will hit $1.20 next month",Price Action
1196,$FB $AMZN $AAPL $NFLX $GOOG $NVDA waaaay too hot!!! due for another tech sell off!!!,Price Action
1197,$PLX investors like me will sell off. i sold my 50k shares of plx until i know the plan,Price Action
1198,Sold remaining 1/3 $AZO at $700 - 30% above my $535 average,Price Action
1199,CompaniesMetro Bank raises Â£400m ahead of London listing,Strategy
1200,GSK aims to file up to 20 new drugs for approval by 2020,Rumors
1201,$NFX still looks overpriced (rated 1.7 as price is down to 34.97).,Price Action
1202,CompaniesCoutts raids JPMorgan Chase for new CEO,Appointment
1203,"Check Point Software Technologies Ltd. $CHKP Receives Outperform Rating from Oppenheimer Holdings, Inc.",Coverage
1204,British American Tobacco accused of bribing senior politicians to sabotage ...,Reputation
1205,5-star analyst Robin M. Farley from UBS reiterated a BUY on $MGM,Coverage
1206,CompaniesNational Grid lines up sale of gas business,Sales
1207,"RBS Investment Bank to Return to Profit After Overhaul, CEO Says",Financial
1208,$GILD Back in Bullish,Price Action
1209,$WLL In for a quarter position @ 8.10...,Price Action
1210,CompaniesAstraZeneca shares hit as 2016 revenue forecast to fall,Price Action
1211,$DRYS i exited very riskyyyy,Price Action
1212,"$IO sell the pop, market extreme overbought here $SDRL $X $CHK",Price Action
1213,"Glencore to refinance its short-term debt early, shares rise",Strategy
1214,$NVDA what a bubble this stock is,Price Action
1215,$AMD Citigroup Inc. issued a sell rating and a $2.00 price objective on the stock,Coverage
1216,$LE Back in for a swing on this one @ 15.35/sh. Last time was +50% within 3 months,Price Action
1217,Landlord Hammerson's NAV rises on increased leasing activity,Price Action
1218,Early victory for new CEO as Morrisons beats forecasts,Dividend Policy
1219,$SHOP Shopify revenue up 86% year-over-year (long) ,Financial
1220,HSBC money laundering report's release delayed amid US appeal,Reputation
1221,$SWI downgraded to market perform from outperform at FBR & Co.,Coverage
1222,Sensata Technologies Holding N.V. $ST Shares Gap Up Following Earnings Beat,Financial
1223,$SPPI drops sharply after bad earnings. Investors not liking what they see. Say hello to $5's,Financial
1224,Genel Shares Plunge After Tony Hayward's Oil Explorer Cuts Crude Reserves at Core Field,Price Action
1225,The Latest: Buffett says cuts will pay off at Kraft Heinz,Strategy
1226,"CTG revenue falls 9%, lowers full-year revenue guidance",Financial
1227,BHP Billiton says no settlement yet on Brazil dam disaster,Legal
1228,I sold my $PEIX shares today @ $6.07 but will buy them back lower.,Price Action
1229,AstraZeneca says new lung cancer pill Tagrisso approved by EU,Regulatory
1230,$RH Huge short interest. All of retail oversold. RSI below 20 today. Big squeeze coming. Likely back to upper 30s before earnings,Price Action
1231,UPDATE 3-Barclays fined for lax crime checks in 'deal of century',Legal
1232,$UGAZ Guess I'll buy another 1k shares,Price Action
1233,RSI is overbought on $SHOP and momentum is falling,Price Action
1234,Smith & Nephew 2015 trading profit beats expectations,Financial
1235,Analyst Activity – Barclays PLC Reiterates Buy on Agilent Technologies (NYSE:A) https://t.co/SJSMP8qzxs $A,Coverage
1236,Warren Buffett's Berkshire Hathaway quarterly profit jumps almost one third,Financial
1237,CompaniesG4S claims 'positive' start to the year,Company Communication
1238,CompaniesCentrica shares drop 7% amid capital raise,Price Action
1239,RBS breaks with past by tearing investment bank apart,Price Action
1240,BHP's iron ore outlook holds little cheer for small miners,Strategy
1241,Bunzl delivers small profit increase for 2014,Financial
1242,StanLife leads FTSE after strong earnings,Financial
1243,"$XTNT 10% increase in revenue yoy, 24.5 million in revenue and 25 million is the breakeven point with total cost of operating(debt included)",Financial
1244,$MU Im out... Sold at 13.84,Price Action
1245,BT Group's third quarter revenues rise as restructure unveiled,Strategy
1246,$BBBY After earnings it's tanking,Financial
1247,UPDATE 1-LPC-Glencore launches refinancing of US$8.45bn loan,Strategy
1248,RBS Shares Drop After Surprise Pension Charge Cuts Capital,Price Action
1249,Diageo offloads major wine interests,Sales
1250,$PTLA why are the insider selling?,Insider Activity
1251,BP Reports $583 Million Loss in First Quarter,Financial
1252,$ARNC Stock is significantly undervalued. The Fastener business alone is worth more than the current stock price and it's a cash cow,Price Action
1253,Barclays settles with US investors over Libor manipulation,Legal
1254,Reed Elsevier shares cool after profit dip,Price Action
1255,$GE notice how insiders have only been buying the last 3 months - not selling,Insider Activity
1256,"Macquarie Reiterates “Buy” Rating for http://Amazon.com , Inc. $AMZN",Coverage
1257,$TVIX in @$10.07 please stop selling people. Get a hold of reality and let's get this back to $12 ish. Buy buy buy buy buy buy and MORE BUY!,Price Action
1258,Che Banca! CEO says Barclays buy to lift profit from 2016-17,Financial
1259,"Schroders assets hit record in Q1, buoyed by institutional inflows",Price Action
1260,Shell CEO van Beurden's remuneration fell in 2015,Appointment
1261,"CLSA On ITC: Rating: Upgrade To Underperform From Sell, Taget: Rs 285",Coverage
1262,$PEP Q2'17 delivered 6% organic revenue D&E growth & 3% reported net revenue D&E ... $PEP Q2 organic revenue up 3.1%; reported net revenue up 2.0%,Financial
1263,AstraZeneca to cut costs but stays silent on M&A talk,Strategy
1264,"Twitter, Inc. $TWTR Rating Lowered to Sell at BidaskClub",Coverage
1265,Gemalto shares slump on third profit warning https://www.ft.com/content/1ee22294-7071-11e7-aca6-c6bd07df1a3c … via @FT,Financial
1266,AstraZeneca shares climb 3% as drug maker ups profits forecasts,Price Action
1267,"$KEM looks like oversold already, unless there is other fundamentally bearish factor... good for first small entry.",Price Action
1268,These stocks are OVERSOLD & UNDERVALUED! So we need to buy @ support! $SINO $SCON $LTBR $ITEK $GALE $HGG $GBR $OPTT,Price Action
1269,Coca-Cola shares rise after earnings beat expectations,Financial
1270,"$HIMX great short entry, earnings miss + bad guide + downgrade next week = more downside",Financial
1271,"Bunzl backs 2015 view, buys more businesses",Strategy
1272,$SPG downgraded to Neutral from Buy at Goldman. PT to $185 from $207,Coverage
1273,"$AAPL gravestone doji indicating downward selling pressure. After long upward trajectory,healthy to retest 108/106 ",Price Action
1274,CompaniesCompass serves up half year profit rise,Financial
1275,$AZO does it look overbought yet at this level..,Price Action
1276,Amazon.com  Inc  $AMZN  just had an analyst rating upgrade...,Coverage
1277,$BABA I added on the dip yesterday. Rick holding over night. But I’m running away from this.,Price Action
1278,ONE STOCK OVERSOLD RSI 20 TO WATCH FOR POSSIBLE REVERSEAL $AGRX ,Price Action
1279,Lloyds Banking Group reports 7% dip in annual profits,Financial
1280,Britain's FTSE advances as investors cheer Kingfisher results,Market
1281,"IBM revenue growth down 3% over the past year, its 20th consecutive YoY decline. $IBM",Financial
1282,$WY overvalued....sorry folks but with merger costs/ housing slowdowns & less paper product demand then WY shares too high,Price Action
1283,"$COTY Recent significant insider buying at $COTY, $REV, and $IFF. ",Insider Activity
1284,"Hibbett Sports shares plummet 30% after profit warning, ‘woefully late’ e-commerce launch",Financial
1285,Barclays fined for anti-money-laundering failings,Legal
1286,"$AMD GS reiterated Sell rating, so that isn't helping",Coverage
1287,Barclays reports 8% fall in annual profits,Financial
1288,Cantor Fitzgerald Sticks to Its Buy Rating for Amazon $AMZN,Coverage
1289,"Amazon.com , Inc. $AMZN Downgraded by Zacks Investment Research to “Strong Sell”",Coverage
1290,Former Barclays traders stand trial in Libor case,Insider Activity
1291,Industry NewsBarclays to 'cut investment bank staff by another 20%',Appointment
1292,"$JNUG overbought, need to reset technicals",Price Action
1293,Admiral and Schroders lift FTSE with profits surge,Financial
1294,"Bought back into $TSLA, previously sold at $362",Price Action
1295,$GMED looks overbought at this level and time frame,Price Action
1296,"$CIE stock is oversold and shorted to death. I don't really think it matters what ER says, the shorts will be out Monday",Price Action
1297,Rio Tinto announces long-delayed expansion of Mongolia mine,Strategy
1298,Companies Severn Trent expects costs hit from inflation,Financial
1299,"$MSFT plenty of green, early sign of an upbeat day coming. Just buy back at open if u sold too soon.",Price Action
1300,"$RIG $AMZN $NFLX $TSLA lol, Amazon and Tesla are overvalued...",Price Action
1301,Exxon Beaumont CDU overhaul to be slowed by accident: sources,Reputation
1302,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma,M&A
